,Person - First name,Person - Last name,Person - Phone,Person - Email (Work),Person - Email (Home),Organization - Name*,Organization - Address,Deal - Title,Deal - Value
13,Dennis,Winters,001-905-646-9517x1408,ariana03@example.org,christopher64@example.net,Carroll Inc,"17344 Kara Inlet, Roymouth, MS 53353",Enterprise-wide bottom-line task-force,1166744
14,Kristen,Grant,(848)928-5839x36370,jonathanboyle@example.net,baileydavid@example.com,Gross-Strickland,"920 Gina Summit, South Renee, GU 56279",Up-sized secondary challenge,565105
15,Michael,Alvarez,212-601-8222x9536,parkerjoshua@example.com,anthonywall@example.net,Melendez-Mccormick,"05734 Marie Points, Lake Ralphchester, AZ 20079",Fully-configurable zero tolerance encryption,967260
16,Dana,Jones,936.464.0206x31768,amy93@example.com,robbinsstephen@example.net,French Ltd,"1688 Jennifer Knoll Suite 906, Floreston, VT 95344",Customer-focused interactive hardware,1406734
17,Christina,Bailey,803-401-6741x5451,stoutalexander@example.net,elliottrandy@example.net,Anderson PLC,"64605 Brittany Way Suite 529, Vincentshire, IA 98631",Persevering foreground Internet solution,557483
18,Mathew,Allison,826.369.5067x2958,hayeswilliam@example.net,amy58@example.net,"Hernandez, Johnson and Nguyen","8256 Young Crossroad Apt. 646, Kristineport, KS 82020",Optimized logistical help-desk,1320828
19,Kristy,Terry,809-397-9607,oconnellhelen@example.net,anthony42@example.net,"Love, Morrison and Cook","0812 Michael Rue Suite 114, Tinaville, MP 07304",Distributed 6thgeneration circuit,982614
20,Dana,Johnson,476.655.5860x90159,xchandler@example.com,samuellee@example.net,"Bailey, Morgan and Dyer","186 Moore Extensions, Dawnton, NJ 99660",Diverse system-worthy moratorium,647795
21,Antonio,Smith,207-828-6708x586,annettebaker@example.net,hoffmangeorge@example.org,"Hernandez, Vaughn and Perkins","87887 Long Unions, Kirbyshire, AL 72224",Team-oriented clear-thinking hub,1285830
22,Michael,Powell,001-918-771-0399,woodardjustin@example.org,bennettjennifer@example.com,Holden-Oneill,"4827 Robert Dale, Port Travis, WY 64968",Polarized system-worthy Graphic Interface,1392857
23,Mary,Moss,476-620-2257,erica64@example.net,leonardjuan@example.net,Hansen LLC,"16902 Kirk Springs, Bradleyside, NM 27216",Front-line multi-tasking database,1184216
24,Ashley,Martinez,953-302-9865x972,luis29@example.org,nnguyen@example.com,"Davis, Johnson and Palmer","4311 Tonya Center Suite 367, South Davidberg, KS 80920",Integrated exuding customer loyalty,647632
25,David,Ray,311-282-4325,kennethsanders@example.net,christine94@example.org,Rios-Rollins,"PSC 5173, Box 3692, APO AA 32791",Switchable asymmetric info-mediaries,756587
26,Rebekah,Garrett,+1-359-963-7026,ebrown@example.net,kevin20@example.net,"Bell, Leon and Schmidt","88107 Amanda Estate Apt. 324, Mirandaberg, PA 33030",Reduced bi-directional info-mediaries,822044
27,Shawn,Rogers,+1-688-792-4511x532,jbrooks@example.net,strongjay@example.com,Spencer LLC,"032 Beverly Isle, Tiffanyport, KY 90487",Secured 6thgeneration Internet solution,1074968
28,Amy,Holt,+1-703-722-2224x3284,kempdevin@example.com,crystalgarza@example.net,"Gomez, Owens and Harris","038 Sean Shoal, New Debbieside, IL 23065",Right-sized empowering workforce,743129
29,Brenda,Aguilar,(413)522-5239,amadden@example.org,jcline@example.net,"Perez, Jimenez and Fleming","06217 Jay Forge Apt. 073, North Jessicaburgh, OK 35567",Synchronized asymmetric core,1391449
30,Douglas,Hernandez,001-217-851-4830x44074,amarsh@example.org,joshua06@example.com,Clark PLC,"8050 Floyd Groves Suite 222, Elizabethchester, DC 35491",Operative modular matrices,989655
31,Bryan,Hunt,001-969-534-6626x6329,lgibson@example.org,ruizpaul@example.org,Perry Inc,"2624 Wheeler Mews Suite 399, East James, MT 72035",Future-proofed executive data-warehouse,701637
32,Shelia,Myers,981-693-4036x7204,gabriellequinn@example.org,gouldvictoria@example.org,"Frazier, Curry and Kline","27586 Hernandez Forges Apt. 528, Elliottside, MH 23119",Phased national contingency,1084019
33,Rebecca,Flores,811.930.7929,bsalinas@example.org,sherri27@example.org,Harris-Taylor,"5153 Ariel Streets Suite 702, West Stacey, MP 62143",Team-oriented hybrid complexity,1276519
34,Brooke,Park,944.929.2448x420,stewartkevin@example.org,davismichael@example.net,"Fuller, Wade and Sexton","028 Evans Spur, East Timothytown, IL 14491",Adaptive bi-directional complexity,838456
35,Darren,Rodgers,285-372-9818x68071,max71@example.org,tammy41@example.org,Bowen-Sanders,"797 Jerry Village Suite 096, Lake Rogerfurt, OH 48978",Profound non-volatile success,872278
36,Laura,Alexander,235-860-9587x3251,bgates@example.org,lauren46@example.org,"Raymond, Mosley and Hughes","61158 Oliver Trail Apt. 576, New Benjamin, ID 97830",Customizable human-resource service-desk,666093
37,Angela,Lee,001-563-496-3992x04831,brownmelissa@example.org,michael62@example.com,Oliver-Campbell,"00675 Miles View, New Kelsey, MH 42338",Synergized non-volatile product,1023410
38,Alexander,Kelly,312.952.2740,hannah69@example.com,matthew45@example.com,"Mcintosh, Sullivan and Baker","65805 Kirk Land Apt. 128, Huberburgh, VI 21910",Open-architected dedicated challenge,1125194
39,Christopher,Gordon,+1-714-234-3303x798,samantha12@example.org,benjaminhensley@example.com,"Howard, Salazar and Campos","272 Padilla Mount Apt. 538, East Ericshire, NV 66963",Grass-roots zero tolerance framework,1160242
40,Cynthia,Parsons,(989)969-2054,murrayjohn@example.com,ashley59@example.org,Garcia PLC,"8705 Benjamin Vista, South Jeremy, FM 03930",Ameliorated responsive access,865377
41,Zachary,Jackson,+1-672-575-1644,lisaobrien@example.com,gloversara@example.net,"Miles, Rodriguez and Chan","30993 Levy Pines, East Hannahmouth, AS 30694",Intuitive exuding service-desk,1252262
42,Carolyn,Griffith,+1-920-499-3699,ginadunn@example.org,william89@example.org,Anderson Ltd,"686 Espinoza Pines Apt. 878, South Eric, DE 32091",Automated tangible interface,537579
43,Charles,Matthews,+1-863-373-7253x69725,robin60@example.net,cynthia03@example.org,Cunningham LLC,"737 Janice Prairie Suite 565, Port Matthewton, ID 77376",Distributed well-modulated analyzer,1483703
44,James,Flores,(946)559-7682x346,diana39@example.org,scott28@example.net,White-Barrera,"164 Wendy Crescent Apt. 840, East Katiechester, VA 50929",Realigned modular capability,1371173
45,Gregory,Jackson,3229658672,tinawood@example.org,rstevenson@example.net,"Hayes, Wilson and King","99877 Taylor Fields, Lake Courtney, DE 98597",Versatile fresh-thinking complexity,963195
46,Wendy,Johnson,6038926507,daughertyrachael@example.org,martinezshane@example.com,Frazier Ltd,"279 Cantu Trail Apt. 474, Williamshire, MD 93680",Reverse-engineered executive data-warehouse,1459646
47,Ernest,Duncan,307-524-0055,christopher58@example.net,probinson@example.com,Rodriguez-Gonzales,"927 Clark Manors, Charlesview, TX 08888",Multi-tiered executive encryption,1200214
48,Cynthia,James,500-825-5845,charles63@example.net,grossmichelle@example.com,"Baker, Parker and Chavez","11488 Collier Green, Garrisonbury, IL 15447",Re-engineered uniform encoding,528804
49,Richard,Ortiz,918.626.4139,ohernandez@example.net,troy01@example.com,"Williams, Lopez and Navarro","98662 Donna Burgs Apt. 371, Kaylaton, NY 30107",Persevering holistic parallelism,1394017
50,Henry,Coleman,001-755-857-1700x34648,shawbrandon@example.net,chelsea63@example.com,"Nguyen, Perez and Parsons","PSC 1447, Box 5783, APO AA 06581",Realigned neutral collaboration,1161479
51,Ann,Ramirez,(242)457-7421x97446,christopher15@example.org,shawn29@example.org,Gross and Sons,"USS Garner, FPO AP 91851",Decentralized directional hardware,882585
52,Marcus,Harris,+1-677-596-1808x34303,pbarnes@example.com,vwaters@example.net,Bridges LLC,"0722 Christopher Street, Cassandraport, MT 03374",Extended next generation challenge,1193209
53,Cole,Combs,657-401-1686x6167,vboyer@example.com,kathyvincent@example.net,Jennings-Carey,"3361 Stevens Extension Apt. 627, Kennethchester, AR 01028",Universal solution-oriented synergy,1259024
54,Elizabeth,Barnett,(701)393-1967x75630,johnsonalan@example.net,bcooper@example.org,Johnson Group,"78513 Tanner Springs, Danielton, MI 77082",Persevering composite firmware,1242801
55,Robert,Johnson,+1-484-887-3463,hurstdawn@example.org,mackenzie17@example.org,Caldwell-Graves,"USS Webb, FPO AP 91390",Optimized multimedia moderator,1028653
56,David,Conrad,733-841-2856,pwest@example.org,daniellivingston@example.com,Watson-Wilson,"1473 Smith Pass, New Tina, NH 39615",Face-to-face local service-desk,584211
57,Tiffany,Garcia,410-296-0278x836,matthew93@example.net,robertwilson@example.com,Meyer Group,"247 Byrd Expressway, Lindachester, DC 28949",Right-sized human-resource website,1266458
58,Louis,Roberts,+1-446-694-3439x14503,hhardy@example.com,gravesnancy@example.com,Everett-Chung,"053 Randall Crossroad Suite 026, Toddtown, NV 39761",Organized scalable capability,994908
59,Karen,Mitchell,001-382-289-5579x53659,martinjesus@example.org,wendyparker@example.org,Ward and Sons,"182 Johnson Land Apt. 302, Owenshaven, HI 98162",Secured object-oriented frame,654859
60,Hannah,Carson,(587)896-3362x051,amber78@example.org,cynthiabaker@example.net,"Drake, Montgomery and Riley","170 Joseph Junction, Lake Ryan, FM 32064",Assimilated client-server open system,1372146
61,Nicholas,Chan,+1-956-260-2165x03250,abigail41@example.net,greenpam@example.net,Hart-Ramsey,"73687 Taylor Course Apt. 176, New Kellyville, ID 07056",Multi-channeled zero-defect superstructure,896636
62,Patricia,Hanson,001-497-723-7403x747,bowersalfred@example.com,goodmantyler@example.org,"Gilmore, Vasquez and Andrews","25265 Tina Locks Suite 470, Brittanyfurt, NY 24158",Public-key empowering emulation,783518
63,Bob,Houston,+1-253-830-2700x271,fieldsmary@example.net,hannahmccann@example.org,"Anderson, Wilson and Moore","USNV Harrell, FPO AP 97228",Vision-oriented secondary challenge,686985
64,Alex,Weaver,(593)903-1137x6819,annawilliams@example.net,johnsontiffany@example.org,Smith-Rice,"96387 Strickland Well, New Jamesmouth, NH 94209",Ergonomic interactive alliance,749628
65,Jeffrey,Berry,001-466-814-4148x8300,taylorrachel@example.net,jennawalters@example.org,Hart Group,"29695 Elizabeth Rapid, Brooksborough, RI 37348",Pre-emptive eco-centric hierarchy,980892
66,Brian,Jimenez,640-963-5457x71513,angela27@example.net,marcusmarshall@example.com,"Brooks, Norton and Perry","627 Garcia Extension, Wardshire, PR 20829",Open-source coherent knowledgebase,1403167
67,Whitney,Price,906-942-4756x034,charlescrosby@example.org,bhahn@example.com,Spears-Case,"84036 Blake Road Apt. 524, East Jeremy, LA 16971",Diverse modular support,1077329
68,Michael,Blair,4984181980,elizabethscott@example.org,bryan34@example.com,Romero-Campos,"710 Walsh Stravenue, Carterstad, KY 87332",Team-oriented clear-thinking application,999557
69,Albert,Jones,403.806.1733,cadkins@example.net,cookelance@example.com,Johnson-Smith,"56919 Casey Unions Suite 077, Jordanfort, DE 17345",Persistent regional function,1376581
70,Connor,Harper,(947)645-1761x1958,charles38@example.com,joshuadouglas@example.com,Schwartz PLC,"122 Lewis Port, Michaelland, CO 41932",Sharable transitional service-desk,1161982
71,Edward,Mcdonald,001-950-775-7858x180,carlabaker@example.net,adamspam@example.com,Robbins and Sons,"661 Nicole Islands, Diazfurt, PW 71014",Re-contextualized dynamic project,1381790
72,James,Stark,(698)673-1906,stephanie14@example.com,brianfrey@example.org,"Tucker, Rogers and Padilla","44400 Williams Coves, Lake Andrea, NM 88514",Re-engineered intermediate installation,577455
73,Chelsea,Michael,630-561-9406,michaelcochran@example.org,dalecampbell@example.com,Walker Inc,"PSC 0704, Box 4515, APO AP 28589",Extended explicit hardware,657915
74,Molly,Estes,(266)711-3696,walkerderrick@example.com,amandabartlett@example.com,Ruiz-Parker,"057 Chambers Camp, South Rebecca, MH 40997",Re-contextualized cohesive frame,1340305
75,Joel,Schwartz,(823)540-2962x840,russellhelen@example.org,christiancobb@example.org,"Figueroa, Williams and Morgan","131 Moss Prairie, Williamsshire, IL 31603",Progressive mobile synergy,633491
76,Jillian,Garrison,+1-736-942-8051x67455,kfernandez@example.com,ejames@example.com,Freeman PLC,"9489 Craig Crossing Suite 649, Susanbury, GU 68923",Universal zero tolerance initiative,679397
77,Thomas,Gregory,001-796-707-0418x0694,ipatton@example.com,orivera@example.com,Flowers PLC,"75014 Alice Wall Apt. 404, Port Howard, MH 84884",Open-source local leverage,602145
78,Johnathan,Romero,(567)636-0656x7894,sarah16@example.org,itorres@example.com,"Wall, Mendoza and Whitehead","32191 Bradley Road Apt. 328, Richardchester, FM 37923",Intuitive bandwidth-monitored encryption,1371450
79,Angela,Mills,(532)687-1294,yhubbard@example.com,paige77@example.org,Joyce Ltd,"5079 Lisa Mission, Erinfurt, GA 59470",Operative optimal superstructure,986760
80,Julie,Wilson,605-282-7579,leslie25@example.net,josephedwards@example.org,"Ward, Cantrell and Faulkner","5010 Waters Vista Apt. 853, Port Kristinbury, MI 71433",User-centric background challenge,599022
81,Elijah,Gonzalez,401-471-1982x00288,christina21@example.org,tony69@example.com,"Ruiz, Jackson and Malone","127 Mary Extensions Apt. 619, Whitefort, WV 89517",Configurable clear-thinking focus group,607166
82,Jennifer,Berry,313-437-1796x2000,katherine31@example.com,osmith@example.org,"Moore, Armstrong and Perez","612 Carter Fields, New Derek, CO 52717",Synergistic multi-tasking access,1356043
83,Jessica,Alexander,(937)518-5019,amandalogan@example.org,andersondavid@example.org,Campbell-Martinez,"716 Thomas Skyway, Amberstad, CA 19816",Exclusive context-sensitive migration,1114359
84,Crystal,Maldonado,916.385.4079x02393,huffmancharles@example.org,hunter01@example.net,Spencer-Lara,"85136 Jones Harbors, East Anthony, UT 80508",Integrated clear-thinking moderator,735609
85,James,Jackson,+1-248-367-0348x8932,qwright@example.net,vhayes@example.net,"Garrett, Smith and Evans","555 Alyssa Creek Suite 765, Taylormouth, VI 11882",Cross-group logistical Local Area Network,1388446
86,Crystal,King,378-587-1803x268,jameslewis@example.com,weaverbrittany@example.net,Ramirez and Sons,"Unit 5628 Box 0402, DPO AP 44330",Multi-lateral fault-tolerant implementation,1183420
87,Brian,Brown,226-751-6279x305,erika84@example.com,katherine26@example.com,Jenkins-Combs,"32032 Brown Pines, Lewisview, GU 48554",Customer-focused 3rdgeneration leverage,622515
88,Melissa,Johnson,934.222.3089x03334,stephaniepowers@example.org,lorismith@example.net,Caldwell-Kim,"PSC 9356, Box 2243, APO AE 79484",Re-engineered motivating help-desk,1313532
89,Brian,Williams,619-495-0484,mercersara@example.com,huffronnie@example.com,Robinson PLC,"26595 Moore Plains Suite 286, Miguelshire, RI 65275",Triple-buffered static encoding,1316045
90,Dylan,Oliver,8513272477,gonzaleztina@example.com,kennedyjonathan@example.net,Adkins-Vance,"464 Brenda Wall, Lake Joshuabury, MD 38207",Expanded even-keeled infrastructure,1072729
91,James,Harrison,(847)510-9166x148,tammylewis@example.org,stacy46@example.org,Galvan-Stewart,"59493 Andres River Apt. 296, Brianburgh, CO 53636",Re-contextualized neutral data-warehouse,1127392
92,Tina,Duncan,8538997284,joannajensen@example.net,marshtommy@example.org,Jones-Walters,"428 Brian Fork, Anneton, PA 54475",Universal radical artificial intelligence,759127
93,Susan,Cruz,001-520-791-7644x1290,daltonmichelle@example.com,jenniferarnold@example.com,Salazar LLC,"PSC 3187, Box 9670, APO AA 25650",Profound directional implementation,1306496
94,Nicholas,May,(689)502-2744x9329,xkelly@example.com,ochoanicholas@example.com,"Moreno, Parker and Bates","3097 Wilcox Avenue Suite 600, Richardsville, KS 87203",Upgradable systemic Graphical User Interface,1399664
95,Anthony,Olsen,725.459.0278x05036,avelasquez@example.org,zharris@example.net,Smith Inc,"23470 Reed Place, Loriton, MI 21785",Reduced multi-tasking task-force,865551
96,Linda,Massey,725.533.7042x2236,chelseanavarro@example.com,qcarey@example.com,Wilson-Collier,"52793 Miller Springs Suite 106, Curtisbury, MA 37392",Extended demand-driven throughput,1379391
97,Carla,Grant,516.690.0106x07533,david05@example.net,kpeters@example.org,Patterson Inc,"9058 Perry Freeway Suite 761, Michaelport, CT 78053",Mandatory next generation encoding,1189580
98,Christine,Perez,495.870.0159,xalvarez@example.org,pgaines@example.org,Rodriguez-Smith,"32828 Kyle Corners, Shepherdshire, LA 45925",Distributed 6thgeneration complexity,783465
99,Bethany,Smith,001-519-633-9113x21477,lsampson@example.net,lewisangela@example.net,Dennis-Hurst,"82552 Silva Land, Crawfordview, NE 16511",Robust 5thgeneration Graphical User Interface,1450727
